ASL-devel: ASL 
PackageKit-Qt-devel: packagekitqt5 
SimGear-devel: SimGear 
Vc-devel: Vc 
akonadi-calendar-devel: KF5AkonadiCalendar 
akonadi-contact-devel: KF5AkonadiContact KF5ContactEditor 
akonadi-import-wizard-devel: KPimImportWizard 
akonadi-mime-devel: KF5AkonadiMime 
akonadi-notes-devel: KF5AkonadiNotes 
akonadi-search-devel: KF5AkonadiSearch 
akonadi-server-devel: KF5Akonadi 
analitza-devel: Analitza5 
aqbanking-devel: aqbanking 
assimp-devel: assimp 
attica-qt5-devel: KF5Attica 
avogadro-devel: libmsym 
avogadrolibs-devel: AvogadroLibs 
baloo5-devel: KF5Baloo 
baloo5-widgets-devel: KF5BalooWidgets 
benchmark-devel: benchmark 
bluez-qt-devel: KF5BluezQt 
breeze5-style: Breeze 
calendarsupport-devel: KF5CalendarSupport 
cgal-devel: CGAL CGALLib CGAL_CoreLib CGAL_ImageIOLib CGAL_Qt5Lib 
clFFT-devel: clFFT 
clang5-devel: Clang 
cmake: x86-64 
dcmtk-devel: DCMTK 
dolphin-devel: DolphinVcs 
eventviews-devel: KF5EventViews 
fcitx-qt5-devel: FcitxQt5DBusAddons FcitxQt5WidgetsAddons 
frameworkintegration-devel: KF5FrameworkIntegration 
freerdp-devel: FreeRDP FreeRDP-Client FreeRDP-Server FreeRDP-Shadow 
gammaray-devel: GammaRay 
glm-devel: glm 
gnuradio-devel: Gnuradio Volk 
gpgmepp5-devel: KF5Gpgmepp 
grantlee5-devel: Grantlee5 
grantleetheme-devel: KF5GrantleeTheme 
grpc-devel: gRPC 
gstreamer-plugins-qt-devel: QtGStreamer 
gstreamer-plugins-qt5-devel: Qt5GStreamer 
gwenhywfar-devel: gwengui-cpp gwengui-qt4 gwengui-qt5 gwenhywfar 
incidenceeditor-devel: KF5IncidenceEditor 
jrtplib-devel: JRTPLIB 
jsoncpp-devel: jsoncpp 
jthread-devel: JThread 
kaccounts-integration-devel: KAccounts 
kactivities-stats-devel: KF5ActivitiesStats 
kactivities5-devel: KF5Activities 
kalarmcal-devel: KF5AlarmCalendar 
karchive-devel: KF5Archive 
kauth-devel: KF5Auth 
kblog-devel: KF5Blog 
kbookmarks-devel: KF5Bookmarks 
kcalcore-devel: KF5CalendarCore 
kcalutils-devel: KF5CalendarUtils 
kcmutils-devel: KF5KCMUtils 
kcodecs-devel: KF5Codecs 
kcompletion-devel: KF5Completion 
kconfig-devel: KF5Config 
kconfigwidgets-devel: KF5ConfigWidgets 
kcontacts-devel: KF5Contacts 
kcoreaddons-devel: KF5CoreAddons 
kcrash-devel: KF5Crash 
kdav-devel: KPimKDAV 
kdb-devel: KDb 
kdbusaddons-devel: KF5DBusAddons 
kdebase4-workspace-devel: KDE4Workspace 
kdeclarative-devel: KF5Declarative 
kded-devel: KDED 
kdelibs4support-devel: KF5KDE4Support KF5KDELibs4Support 
kdepim-apps-libs-devel: KF5FollowupReminder KF5KaddressbookGrantlee KF5KaddressbookImportExport KF5KdepimDBusInterfaces KF5SendLater 
kdesignerplugin-devel: KF5DesignerPlugin 
kdesu-devel: KF5Su 
kdevelop5-pg-qt: KDevelop-PG-Qt 
kdevelop5: KDevelop 
kdevplatform-devel: KDevPlatform 
kdewebkit-devel: KF5WebKit 
kdgantt2-devel: KF5KDGantt2 
kdiagram-devel: KChart KGantt 
kdnssd-framework-devel: KF5DNSSD 
kdoctools-devel: KF5DocTools 
kdstatemachineeditor-devel: KDSME 
kemoticons-devel: KF5Emoticons 
kfilemetadata5-devel: KF5FileMetaData 
kglobalaccel-devel: KF5GlobalAccel 
kguiaddons-devel: KF5GuiAddons 
kholidays-devel: KF5Holidays 
khotkeys5-devel: KHotKeysDBusInterface 
khtml-devel: KF5KHtml 
ki18n-devel: KF5I18n 
kiconthemes-devel: KF5IconThemes 
kidentitymanagement-devel: KF5IdentityManagement 
kidletime-devel: KF5IdleTime 
kimap-devel: KF5IMAP 
kinit-devel: KF5Init 
kio-devel: KF5KIO 
kirigami-devel: KF5Kirigami 
kirigami2-devel: KF5Kirigami2 
kitemmodels-devel: KF5ItemModels 
kitemviews-devel: KF5ItemViews 
kjobwidgets-devel: KF5JobWidgets 
kjs-devel: KF5JS 
kjsembed-devel: KF5JsEmbed 
kldap-devel: KF5Ldap 
kmailtransport-devel: KF5MailTransport KF5MailTransportAkonadi 
kmbox-devel: KF5Mbox 
kmediaplayer-devel: KF5MediaPlayer 
kmime-devel: KF5Mime 
knewstuff-core-devel: KF5NewStuffCore 
knewstuff-devel: KF5NewStuff 
knewstuff-quick-devel: KF5NewStuffQuick 
knotifications-devel: KF5Notifications 
knotifyconfig-devel: KF5NotifyConfig 
konqueror-devel: KF5Konq 
kontactinterface-devel: KF5KontactInterface 
kpackage-devel: KF5Package 
kparts-devel: KF5Parts 
kpeople5-devel: KF5People 
kpimtextedit-devel: KF5PimTextEdit 
kplotting-devel: KF5Plotting 
kpmcore-devel: KPMcore 
kproperty-devel: KPropertyCore KPropertyWidgets 
kpty-devel: KF5Pty 
kreport-devel: KReport 
kross-devel: KF5Kross 
krunner-devel: KF5Runner 
kscreenlocker-devel: KScreenLocker ScreenSaverDBusInterface 
kservice-devel: KF5Service 
ksmtp-devel: KPimSMTP 
ktexteditor-devel: KF5TextEditor 
ktextwidgets-devel: KF5TextWidgets 
ktnef-devel: KF5Tnef 
kunitconversion-devel: KF5UnitConversion 
kwallet-devel: KF5Wallet 
kwayland-devel: KF5Wayland 
kwidgetsaddons-devel: KF5WidgetsAddons 
kwin5-devel: KWinDBusInterface 
kwindowsystem-devel: KF5WindowSystem 
kxmlgui-devel: KF5XmlGui 
kxmlrpcclient5-devel: KF5XmlRpcClient 
libAppStreamQt-devel: AppStreamQt 
libArcus-lulzbot-devel: Arcus 
libBox2D-devel: Box2D 
libKF5ModemManagerQt-devel: KF5ModemManagerQt 
libKF5NetworkManagerQt-devel: KF5NetworkManagerQt 
libOyranosSynnefo-devel: Synnefo 
libQt53DAnimation-devel: Qt53DAnimation 
libQt53DCore-devel: Qt53DCore 
libQt53DExtras-devel: Qt53DExtras 
libQt53DInput-devel: Qt53DInput 
libQt53DLogic-devel: Qt53DLogic 
libQt53DQuick-devel: Qt53DQuick 
libQt53DQuickAnimation-devel: Qt53DQuickAnimation 
libQt53DQuickExtras-devel: Qt53DQuickExtras 
libQt53DQuickInput-devel: Qt53DQuickInput 
libQt53DQuickRender-devel: Qt53DQuickRender 
libQt53DQuickScene2D-devel: Qt53DQuickScene2D 
libQt53DRender-devel: Qt53DRender 
libQt5Charts5-devel: Qt5Charts 
libQt5Concurrent-devel: Qt5Concurrent 
libQt5Core-devel: Qt5 Qt5Core 
libQt5DBus-devel: Qt5DBus 
libQt5DataVisualization5-devel: Qt5DataVisualization 
libQt5Gui-devel: Qt5Gui 
libQt5Network-devel: Qt5Network 
libQt5OpenGL-devel: Qt5OpenGL 
libQt5OpenGLExtensions-devel-static: Qt5OpenGLExtensions 
libQt5PrintSupport-devel: Qt5PrintSupport 
libQt5QuickControls2-devel: Qt5QuickControls2 
libQt5Sql-devel: Qt5Sql 
libQt5Test-devel: Qt5Test 
libQt5WebKit5-devel: Qt5WebKit 
libQt5WebKitWidgets-devel: Qt5WebKitWidgets 
libQt5Widgets-devel: Qt5Widgets 
libQt5Xml-devel: Qt5Xml 
libSDL2-devel: sdl2 
libaccounts-qt5-devel: AccountsQt5 
libakonadiprotocolinternals-devel: Akonadi 
libalkimia-devel: LibAlkimia 
libalkimia5-devel: LibAlkimia5 
libbullet-devel: Bullet 
libcmocka-devel: cmocka 
libdbusmenu-qt-devel: dbusmenu-qt 
libdbusmenu-qt5-devel: dbusmenu-qt5 
libelektra-devel: Elektra 
libftdi1-devel: LibFTDI1 
