cairo-devel: cairo
dbus-1-devel: dbus-1
dbus-1-glib-devel: dbus-glib-1
gconf2-devel: gconf-2.0
gstreamer-0_10-devel: gstreamer-0.10
exo-devel: exo-1
glib2-devel: glib-2.0
gtk2-devel: gtk+-2.0
hal-devel: hal
ImageMagick-devel: ImageMagick
libapr1-devel: apr-1
libapr-util1-devel: apr-util-1
libexif-devel: libexif
libgarcon-devel: garcon-1
libglade2-devel: libglade-2.0
libgladeui-1_0-devel: gladeui-1.0
libgudev-1_0-devel: gudev-1.0
libical-devel: libical
libnotify-devel: libnotify
libwnck-devel: libwnck-1.0
libxfce4ui-devel: libxfce4ui-1
libxfce4util-devel: libxfce4util-1.0
libxfcegui4-devel: libxfcegui4-1.0
libxfconf-devel: libxfconf-0
libxklavier-devel: libxklavier
libxml2-devel: libxml-2.0
pango-devel: pango
startup-notification-devel: libstartup-notification-1.0
vte-devel: vte
xfce4-panel-devel: libxfce4panel-1.0
zlib-devel: zlib
